# 주식(StockPage): STOCK_LIST_400 중 region US|JP, JP ETF 유니버스 티커 제외, retired 제외 — StockPage.jsx 와 동일
# 표시명은 DB 프로필 우선; 여기 display_hint 는 리스트·폴백 기준
# symbol	display_hint	region	index_tag	sector(list 원본)

## JP
1332.T	1332.T	JP	NIKKEI225	未分類
1605.T	1605.T	JP	NIKKEI225	未分類
1721.T	1721.T	JP	NIKKEI225	未分類
1801.T	1801.T	JP	NIKKEI225	未分類
1802.T	1802.T	JP	NIKKEI225	未分類
1803.T	1803.T	JP	NIKKEI225	未分類
1808.T	1808.T	JP	NIKKEI225	未分類
1812.T	1812.T	JP	NIKKEI225	未分類
1925.T	1925.T	JP	NIKKEI225	未分類
1928.T	1928.T	JP	NIKKEI225	未分類
1963.T	1963.T	JP	NIKKEI225	未分類
2002.T	2002.T	JP	NIKKEI225	未分類
2269.T	2269.T	JP	NIKKEI225	未分類
2282.T	2282.T	JP	NIKKEI225	未分類
2413.T	2413.T	JP	NIKKEI225	未分類
2432.T	2432.T	JP	NIKKEI225	未分類
2501.T	2501.T	JP	NIKKEI225	未分類
2502.T	2502.T	JP	NIKKEI225	未分類
2503.T	2503.T	JP	NIKKEI225	未分類
2531.T	2531.T	JP	NIKKEI225	未分類
2768.T	2768.T	JP	NIKKEI225	未分類
2801.T	2801.T	JP	NIKKEI225	未分類
2802.T	2802.T	JP	NIKKEI225	未分類
2871.T	2871.T	JP	NIKKEI225	未分類
2914.T	2914.T	JP	NIKKEI225	未分類
3086.T	3086.T	JP	NIKKEI225	未分類
3092.T	3092.T	JP	NIKKEI225	未分類
3099.T	3099.T	JP	NIKKEI225	未分類
3101.T	3101.T	JP	NIKKEI225	未分類
3103.T	3103.T	JP	NIKKEI225	未分類
3105.T	3105.T	JP	NIKKEI225	未分類
3289.T	3289.T	JP	NIKKEI225	未分類
3382.T	3382.T	JP	NIKKEI225	未分類
3401.T	3401.T	JP	NIKKEI225	未分類
3402.T	3402.T	JP	NIKKEI225	未分類
3407.T	3407.T	JP	NIKKEI225	未分類
3436.T	3436.T	JP	NIKKEI225	未分類
3659.T	3659.T	JP	NIKKEI225	未分類
4004.T	4004.T	JP	NIKKEI225	未分類
4005.T	4005.T	JP	NIKKEI225	未分類
4021.T	4021.T	JP	NIKKEI225	未分類
4042.T	4042.T	JP	NIKKEI225	未分類
4043.T	4043.T	JP	NIKKEI225	未分類
4061.T	4061.T	JP	NIKKEI225	未分類
4063.T	4063.T	JP	NIKKEI225	未分類
4151.T	4151.T	JP	NIKKEI225	未分類
4188.T	4188.T	JP	NIKKEI225	未分類
4208.T	4208.T	JP	NIKKEI225	未分類
4324.T	4324.T	JP	NIKKEI225	未分類
4452.T	4452.T	JP	NIKKEI225	未分類
4502.T	4502.T	JP	NIKKEI225	未分類
4503.T	4503.T	JP	NIKKEI225	未分類
4507.T	4507.T	JP	NIKKEI225	未分類
4519.T	4519.T	JP	NIKKEI225	未分類
4523.T	4523.T	JP	NIKKEI225	未分類
4543.T	4543.T	JP	NIKKEI225	未分類
4568.T	4568.T	JP	NIKKEI225	未分類
4578.T	4578.T	JP	NIKKEI225	未分類
4631.T	4631.T	JP	NIKKEI225	未分類
4661.T	4661.T	JP	NIKKEI225	未分類
4689.T	4689.T	JP	NIKKEI225	未分類
4704.T	4704.T	JP	NIKKEI225	未分類
4751.T	4751.T	JP	NIKKEI225	未分類
4755.T	4755.T	JP	NIKKEI225	未分類
4901.T	4901.T	JP	NIKKEI225	未分類
4911.T	4911.T	JP	NIKKEI225	未分類
5020.T	5020.T	JP	NIKKEI225	未分類
5101.T	5101.T	JP	NIKKEI225	未分類
5108.T	5108.T	JP	NIKKEI225	未分類
5201.T	5201.T	JP	NIKKEI225	未分類
5202.T	5202.T	JP	NIKKEI225	未分類
5214.T	5214.T	JP	NIKKEI225	未分類
5232.T	5232.T	JP	NIKKEI225	未分類
5233.T	5233.T	JP	NIKKEI225	未分類
5301.T	5301.T	JP	NIKKEI225	未分類
5332.T	5332.T	JP	NIKKEI225	未分類
5333.T	5333.T	JP	NIKKEI225	未分類
5401.T	5401.T	JP	NIKKEI225	未分類
5406.T	5406.T	JP	NIKKEI225	未分類
5411.T	5411.T	JP	NIKKEI225	未分類
5541.T	5541.T	JP	NIKKEI225	未分類
5631.T	5631.T	JP	NIKKEI225	未分類
5703.T	5703.T	JP	NIKKEI225	未分類
5706.T	5706.T	JP	NIKKEI225	未分類
5707.T	5707.T	JP	NIKKEI225	未分類
5711.T	5711.T	JP	NIKKEI225	未分類
5713.T	5713.T	JP	NIKKEI225	未分類
5714.T	5714.T	JP	NIKKEI225	未分類
5801.T	5801.T	JP	NIKKEI225	未分類
5802.T	5802.T	JP	NIKKEI225	未分類
5803.T	5803.T	JP	NIKKEI225	未分類
6098.T	6098.T	JP	NIKKEI225	未分類
6113.T	6113.T	JP	NIKKEI225	未分類
6146.T	6146.T	JP	NIKKEI225	未分類
6178.T	6178.T	JP	NIKKEI225	未分類
6273.T	6273.T	JP	NIKKEI225	未分類
6301.T	6301.T	JP	NIKKEI225	未分類
6302.T	6302.T	JP	NIKKEI225	未分類
6305.T	6305.T	JP	NIKKEI225	未分類
6326.T	6326.T	JP	NIKKEI225	未分類
6361.T	6361.T	JP	NIKKEI225	未分類
6367.T	6367.T	JP	NIKKEI225	未分類
6471.T	6471.T	JP	NIKKEI225	未分類
6472.T	6472.T	JP	NIKKEI225	未分類
6479.T	6479.T	JP	NIKKEI225	未分類
6501.T	6501.T	JP	NIKKEI225	未分類
6503.T	6503.T	JP	NIKKEI225	未分類
6504.T	6504.T	JP	NIKKEI225	未分類
6506.T	6506.T	JP	NIKKEI225	未分類
6532.T	6532.T	JP	NIKKEI225	未分類
6594.T	6594.T	JP	NIKKEI225	未分類
6645.T	6645.T	JP	NIKKEI225	未分類
6674.T	6674.T	JP	NIKKEI225	未分類
6701.T	6701.T	JP	NIKKEI225	未分類
6702.T	6702.T	JP	NIKKEI225	未分類
6723.T	6723.T	JP	NIKKEI225	未分類
6724.T	6724.T	JP	NIKKEI225	未分類
6752.T	6752.T	JP	NIKKEI225	未分類
6753.T	6753.T	JP	NIKKEI225	未分類
6758.T	6758.T	JP	NIKKEI225	未分類
6762.T	6762.T	JP	NIKKEI225	未分類
6770.T	6770.T	JP	NIKKEI225	未分類
6841.T	6841.T	JP	NIKKEI225	未分類
6857.T	6857.T	JP	NIKKEI225	未分類
6861.T	6861.T	JP	NIKKEI225	未分類
6902.T	6902.T	JP	NIKKEI225	未分類
6920.T	6920.T	JP	NIKKEI225	未分類
6952.T	6952.T	JP	NIKKEI225	未分類
6954.T	6954.T	JP	NIKKEI225	未分類
6971.T	6971.T	JP	NIKKEI225	未分類
6981.T	6981.T	JP	NIKKEI225	未分類
6988.T	6988.T	JP	NIKKEI225	未分類
7003.T	7003.T	JP	NIKKEI225	未分類
7004.T	7004.T	JP	NIKKEI225	未分類
7011.T	7011.T	JP	NIKKEI225	未分類
7012.T	7012.T	JP	NIKKEI225	未分類
7013.T	7013.T	JP	NIKKEI225	未分類
7186.T	7186.T	JP	NIKKEI225	未分類
7201.T	7201.T	JP	NIKKEI225	未分類
7202.T	7202.T	JP	NIKKEI225	未分類
7203.T	7203.T	JP	NIKKEI225	未分類
7211.T	7211.T	JP	NIKKEI225	未分類
7261.T	7261.T	JP	NIKKEI225	未分類
7267.T	7267.T	JP	NIKKEI225	未分類
7269.T	7269.T	JP	NIKKEI225	未分類
7270.T	7270.T	JP	NIKKEI225	未分類
7272.T	7272.T	JP	NIKKEI225	未分類
7309.T	7309.T	JP	NIKKEI225	未分類
7731.T	7731.T	JP	NIKKEI225	未分類
7733.T	7733.T	JP	NIKKEI225	未分類
7735.T	7735.T	JP	NIKKEI225	未分類
7741.T	7741.T	JP	NIKKEI225	未分類
7751.T	7751.T	JP	NIKKEI225	未分類
7762.T	7762.T	JP	NIKKEI225	未分類
7832.T	7832.T	JP	NIKKEI225	未分類
7911.T	7911.T	JP	NIKKEI225	未分類
7912.T	7912.T	JP	NIKKEI225	未分類
7914.T	7914.T	JP	NIKKEI225	未分類
7974.T	7974.T	JP	NIKKEI225	未分類
8001.T	8001.T	JP	NIKKEI225	未分類
8002.T	8002.T	JP	NIKKEI225	未分類
8015.T	8015.T	JP	NIKKEI225	未分類
8031.T	8031.T	JP	NIKKEI225	未分類
8035.T	8035.T	JP	NIKKEI225	未分類
8051.T	8051.T	JP	NIKKEI225	未分類
8053.T	8053.T	JP	NIKKEI225	未分類
8058.T	8058.T	JP	NIKKEI225	未分類
8233.T	8233.T	JP	NIKKEI225	未分類
8267.T	8267.T	JP	NIKKEI225	未分類
8304.T	8304.T	JP	NIKKEI225	未分類
8306.T	8306.T	JP	NIKKEI225	未分類
8308.T	8308.T	JP	NIKKEI225	未分類
8309.T	8309.T	JP	NIKKEI225	未分類
8316.T	8316.T	JP	NIKKEI225	未分類
8411.T	8411.T	JP	NIKKEI225	未分類
8591.T	8591.T	JP	NIKKEI225	未分類
8601.T	8601.T	JP	NIKKEI225	未分類
8604.T	8604.T	JP	NIKKEI225	未分類
8630.T	8630.T	JP	NIKKEI225	未分類
8725.T	8725.T	JP	NIKKEI225	未分類
8750.T	8750.T	JP	NIKKEI225	未分類
8766.T	8766.T	JP	NIKKEI225	未分類
8801.T	8801.T	JP	NIKKEI225	未分類
8802.T	8802.T	JP	NIKKEI225	未分類
8830.T	8830.T	JP	NIKKEI225	未分類
9001.T	9001.T	JP	NIKKEI225	未分類
9005.T	9005.T	JP	NIKKEI225	未分類
9007.T	9007.T	JP	NIKKEI225	未分類
9008.T	9008.T	JP	NIKKEI225	未分類
9009.T	9009.T	JP	NIKKEI225	未分類
9020.T	9020.T	JP	NIKKEI225	未分類
9021.T	9021.T	JP	NIKKEI225	未分類
9022.T	9022.T	JP	NIKKEI225	未分類
9064.T	9064.T	JP	NIKKEI225	未分類
9101.T	9101.T	JP	NIKKEI225	未分類
9104.T	9104.T	JP	NIKKEI225	未分類
9107.T	9107.T	JP	NIKKEI225	未分類
9201.T	9201.T	JP	NIKKEI225	未分類
9202.T	9202.T	JP	NIKKEI225	未分類
9301.T	9301.T	JP	NIKKEI225	未分類
9432.T	9432.T	JP	NIKKEI225	未分類
9433.T	9433.T	JP	NIKKEI225	未分類
9434.T	9434.T	JP	NIKKEI225	未分類
9501.T	9501.T	JP	NIKKEI225	未分類
9502.T	9502.T	JP	NIKKEI225	未分類
9503.T	9503.T	JP	NIKKEI225	未分類
9531.T	9531.T	JP	NIKKEI225	未分類
9532.T	9532.T	JP	NIKKEI225	未分類
9602.T	9602.T	JP	NIKKEI225	未分類
9735.T	9735.T	JP	NIKKEI225	未分類
9766.T	9766.T	JP	NIKKEI225	未分類
9983.T	9983.T	JP	NIKKEI225	未分類
9984.T	9984.T	JP	NIKKEI225	未分類

## US
A	A	US	SP500	未分類
AAPL	Apple	US	SP500	Capital Goods & Industrials
ABBV	AbbVie	US	SP500	未分類
ABNB	ABNB	US	SP500	未分類
ABT	Abbott	US	SP500	未分類
ACGL	ACGL	US	SP500	未分類
ACN	Accenture	US	SP500	未分類
ADBE	Adobe	US	SP500	未分類
ADI	Analog Devices	US	SP500	未分類
ADM	ADM	US	SP500	未分類
ADP	ADP	US	SP500	未分類
ADSK	ADSK	US	SP500	未分類
AEE	AEE	US	SP500	未分類
AEP	AEP	US	SP500	未分類
AES	AES	US	SP500	未分類
AFL	AFL	US	SP500	未分類
AIG	AIG	US	SP500	未分類
