symbol,name,exchange,currency,country,category,subcategory,isin,asset_type
6479.T.1,6479.T.1,,,,,,,stock
AAF.XLON,,XLON,,,,,,stock
ABBN.XSWX,,XSWX,,,,,,stock
ABDN.XLON,,XLON,,,,,,stock
ABF.XLON,,XLON,,,,,,stock
ABI.XBRU,,XBRU,,,,,,stock
AD.XAMS,,XAMS,,,,,,stock
ADM.XLON,,XLON,,,,,,stock
ADYEN.XAMS,,XAMS,,,,,,stock
AHT.XLON,,XLON,,,,,,stock
AI.XPAR,,XPAR,,,,,,stock
AIR.XPAR,,XPAR,,,,,,stock
ANTO.XLON,,XLON,,,,,,stock
ASC.XLON,,XLON,,,,,,stock
ASML.XAMS,,XAMS,,,,,,stock
AV.XLON,,XLON,,,,,,stock
AZN.XLON,,XLON,,,,,,stock
BA.XLON,,XLON,,,,,,stock
BARC.XLON,,XLON,,,,,,stock
BATS.XLON,,XLON,,,,,,stock
BBY.XLON,,XLON,,,,,,stock
BDEV.XLON,,XLON,,,,,,stock
BEZ.XLON,,XLON,,,,,,stock
BKG.XLON,,XLON,,,,,,stock
BLND.XLON,,XLON,,,,,,stock
BME.XLON,,XLON,,,,,,stock
BN.XPAR,,XPAR,,,,,,stock
BNP.XPAR,,XPAR,,,,,,stock
BNZL.XLON,,XLON,,,,,,stock
BP.XLON,,XLON,,,,,,stock
CCEP.XLON,,XLON,,,,,,stock
CFR.XSWX,,XSWX,,,,,,stock
CNA.XLON,,XLON,,,,,,stock
CNIC.XLON,,XLON,,,,,,stock
CPG.XLON,,XLON,,,,,,stock
DARK.XLON,,XLON,,,,,,stock
DGE.XLON,,XLON,,,,,,stock
DGRO,,ARCX,,,,,,stock
DNB.XOSL,,XOSL,,,,,,stock
DPLM.XLON,,XLON,,,,,,stock
DRV.XLON,,XLON,,,,,,stock
DSV.XCSE,,XCSE,,,,,,stock
EDV.XLON,,XLON,,,,,,stock
EL.XPAR,,XPAR,,,,,,stock
EN.XPAR,,XPAR,,,,,,stock
ENEL.XMIL,,XMIL,,,,,,stock
ENI.XMIL,,XMIL,,,,,,stock
ENT.XLON,,XLON,,,,,,stock
EQNR.XOSL,,XOSL,,,,,,stock
EXPN.XLON,,XLON,,,,,,stock
FRAS.XLON,,XLON,,,,,,stock
FRES.XLON,,XLON,,,,,,stock
GIVN.XSWX,,XSWX,,,,,,stock
GLE.XPAR,,XPAR,,,,,,stock
